SA609X2XB00426.A96149A.R04.C65,SA609X2XB00426.A96149A.R05.C12,SA609X2XB00426.A96149A.R05.C14,SA609X2XB00426.A96149A.R05.C17,SA609X2XB00426.A96149A.R05.C18,SA609X2XB00426.A96149A.R05.C20,SA609X2XB00426.A96149A.R05.C22,SA609X2XB00426.A96149A.R05.C42,SA609X2XB00426.A96149A.R05.C49,SA609X2XB00426.A96149A.R05.C55,SA609X2XB00426.A96149A.R05.C56,SA609X2XB00426.A96149A.R05.C62,SA609X2XB00426.A96149A.R06.C18,SA609X2XB00426.A96149A.R06.C22,SA609X2XB00426.A96149A.R06.C26,SA609X2XB00426.A96149A.R06.C27,SA609X2XB00426.A96149A.R06.C30,SA609X2XB00426.A96149A.R07.C09,SA609X2XB00426.A96149A.R08.C12,SA609X2XB00426.A96149A.R08.C13,SA609X2XB00426.A96149A.R08.C15,SA609X2XB00426.A96149A.R08.C18,SA609X2XB00426.A96149A.R08.C19,SA609X2XB00426.A96149A.R08.C23,SA609X2XB00426.A96149A.R08.C24,SA609X2XB00426.A96149A.R08.C29,SA609X2XB00426.A96149A.R08.C32,SA609X2XB00426.A96149A.R08.C41,SA609X2XB00426.A96149A.R08.C43,SA609X2XB00426.A96149A.R08.C45,SA609X2XB00426.A96149A.R08.C52,SA609X2XB00426.A96149A.R08.C59,SA609X2XB00426.A96149A.R08.C61,SA609X2XB00426.A96149A.R08.C63,SA609X2XB00426.A96149A.R09.C08,SA609X2XB00426.A96149A.R09.C13,SA609X2XB00426.A96149A.R09.C15,SA609X2XB00426.A96149A.R09.C17,SA609X2XB00426.A96149A.R09.C18,SA609X2XB00426.A96149A.R09.C21,SA609X2XB00426.A96149A.R09.C24,SA609X2XB00426.A96149A.R09.C25,SA609X2XB00426.A96149A.R09.C28,SA609X2XB00426.A96149A.R09.C30,SA609X2XB00426.A96149A.R09.C31,SA609X2XB00426.A96149A.R09.C39,SA609X2XB00426.A96149A.R09.C48,SA609X2XB00426.A96149A.R09.C51,SA609X2XB00426.A96149A.R10.C10,SA609X2XB00426.A96149A.R10.C13,SA609X2XB00426.A96149A.R10.C16,SA609X2XB00426.A96149A.R10.C17,SA609X2XB00426.A96149A.R10.C19,SA609X2XB00426.A96149A.R10.C22,SA609X2XB00426.A96149A.R10.C23,SA609X2XB00426.A96149A.R10.C25,SA609X2XB00426.A96149A.R10.C26,SA609X2XB00426.A96149A.R10.C27,SA609X2XB00426.A96149A.R10.C29,SA609X2XB00426.A96149A.R10.C30,SA609X2XB00426.A96149A.R10.C31,SA609X2XB00426.A96149A.R10.C32,SA609X2XB00426.A96149A.R10.C33,SA609X2XB00426.A96149A.R10.C35,SA609X2XB00426.A96149A.R10.C37,SA609X2XB00426.A96149A.R10.C44,SA609X2XB00426.A96149A.R10.C47,SA609X2XB00426.A96149A.R10.C48,SA609X2XB00426.A96149A.R10.C51,SA609X2XB00426.A96149A.R10.C54,SA609X2XB00426.A96149A.R11.C14,SA609X2XB00426.A96149A.R11.C15,SA609X2XB00426.A96149A.R11.C18,SA609X2XB00426.A96149A.R11.C36,SA609X2XB00426.A96149A.R11.C37,SA609X2XB00426.A96149A.R11.C48,SA609X2XB00426.A96149A.R11.C53,SA609X2XB00426.A96149A.R11.C54,SA609X2XB00426.A96149A.R11.C56,SA609X2XB00426.A96149A.R11.C57,SA609X2XB00426.A96149A.R11.C58,SA609X2XB00426.A96149A.R11.C60,SA609X2XB00426.A96149A.R11.C63,SA609X2XB00426.A96149A.R11.C64,SA609X2XB00426.A96149A.R11.C70,SA609X2XB00426.A96149A.R12.C12,SA609X2XB00426.A96149A.R12.C15,SA609X2XB00426.A96149A.R12.C16,SA609X2XB00426.A96149A.R12.C19,SA609X2XB00426.A96149A.R12.C20,SA609X2XB00426.A96149A.R12.C22,SA609X2XB00426.A96149A.R12.C23,SA609X2XB00426.A96149A.R12.C31,SA609X2XB00426.A96149A.R12.C40,SA609X2XB00426.A96149A.R12.C44,SA609X2XB00426.A96149A.R12.C45,SA609X2XB00426.A96149A.R12.C50,SA609X2XB00426.A96149A.R12.C52,SA609X2XB00426.A96149A.R12.C53,SA609X2XB00426.A96149A.R12.C55
3_142500001_143000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_143000001_143500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_143500001_144000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_144000001_144500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_144500001_145000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_145000001_145500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_14500001_15000000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_146000001_146500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_146500001_147000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_147000001_147500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_147500001_148000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_148500001_149000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_149000001_149500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_149500001_150000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_150000001_150500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_15000001_15500000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_1500001_2000000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2
3_150500001_151000000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_151000001_151500000,2,2,2,2,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3_151500001_152000000,2,2,2,2,2,2,2,2,3,3,3,2,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3
3_152000001_152500000,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,2,3,2,3,2,3,3,3,3,4,2,4
3_152500001_153000000,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,2,3,2,3,2,3,3,3,3,4,3,4
3_153000001_153500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,2,3,3,3,3,3,3,3,3,4,3,4
3_153500001_154000000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,2,2,3,3,3,3,3,3,3,3,4,3,4
3_154000001_154500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_15500001_16000000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_155500001_156000000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_156000001_156500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_156500001_157000000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_157000001_157500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_159000001_159500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_159500001_160000000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_160000001_160500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_16000001_16500000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_160500001_161000000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_161000001_161500000,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_161500001_162000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_163000001_163500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_163500001_164000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_164500001_165000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_165000001_165500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_16500001_17000000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_166000001_166500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,5,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_166500001_167000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_167000001_167500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_167500001_168000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_168500001_169000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_169500001_170000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_170000001_170500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_17000001_17500000,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
3_170500001_171000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_171000001_171500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_171500001_172000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_172000001_172500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_172500001_173000000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
3_173000001_173500000,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4
